,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,State,Lat,Lng,Full_Address
10,2240707,CLOSED,136 Old Grove Lane,Apex,27502,3/7/2019,The Groves,"1,339",2005,2,2,1,Attached,"$180,000.00","$180,000.00",0,Yes,0,0-.25 Acres,1.0,NC,35.727545,-78.8345483,"136 Old Grove Lane,Apex,NC,27502"
11,2192630,CLOSED,137 Licorice Drive,Apex,27502,6/25/2018,Townes At Sugarland,"1,385",2000,3,2,1,Attached,"$175,000.00","$183,000.00",3,Yes,0,0-.25 Acres,1.05,NC,35.7219732,-78.8625818,"137 Licorice Drive,Apex,NC,27502"
12,2317518,CLOSED,109 Harbor Haven Drive,Apex,27502,6/18/2020,West Haven Townhomes,"1,086",2002,2,1,1,Attached,"$179,000.00","$183,000.00",3,Yes,0,0-.25 Acres,1.02,NC,35.718152,-78.85696200000001,"109 Harbor Haven Drive,Apex,NC,27502"
13,2172219,CLOSED,131 Anterbury Drive,Apex,27502,3/14/2018,Bradley Terrace,"1,473",2005,3,2,1,Attached,"$179,900.00","$183,000.00",1,Yes,0,0-.25 Acres,1.02,NC,35.715338,-78.85768399999999,"131 Anterbury Drive,Apex,NC,27502"
14,2257127,CLOSED,105 Harbor Haven Drive,Apex,27502,7/17/2019,West Haven Townhomes,"1,328",2002,3,2,1,Attached,"$190,000.00","$185,000.00",4,,0,0-.25 Acres,0.97,NC,35.7181489,-78.85683399999999,"105 Harbor Haven Drive,Apex,NC,27502"
15,2164779,CLOSED,116 Eldon Lane,Apex,27502,1/17/2018,Bradley Terrace,"1,676",2004,3,2,1,Attached,"$185,000.00","$185,000.00",1,Yes,0,0-.25 Acres,1.0,NC,35.7149591,-78.857407,"116 Eldon Lane,Apex,NC,27502"
16,2175215,CLOSED,114 Eldon Lane,Apex,27502,3/29/2018,Bradley Terrace,"1,452",2004,3,2,1,Attached,"$180,000.00","$185,000.00",1,Yes,0,0-.25 Acres,1.03,NC,35.7150223,-78.857407,"114 Eldon Lane,Apex,NC,27502"
17,2215057,CLOSED,108 Harbor Haven Drive,Apex,27502,11/13/2018,West Haven Townhomes,"1,165",2003,2,2,1,Attached,"$179,000.00","$185,000.00",4,Yes,0,0-.25 Acres,1.03,NC,35.7185043,-78.8569661,"108 Harbor Haven Drive,Apex,NC,27502"
18,2207955,CLOSED,113 Shelter Haven Drive,Apex,27502-4789,9/4/2018,West Haven Townhomes,"1,383",2007,3,2,1,Attached,"$181,900.00","$185,000.00",1,Yes,0,0-.25 Acres,1.02,NC,35.7175997,-78.85703099999999,"113 Shelter Haven Drive,Apex,NC,27502-4789"
19,2196591,CLOSED,106 Eldon Lane,Apex,27502,6/25/2018,Bradley Terrace,"1,470",2004,3,2,1,Attached,"$180,000.00","$185,000.00",0,Yes,0,0-.25 Acres,1.03,NC,35.7152752,-78.857407,"106 Eldon Lane,Apex,NC,27502"
20,2263863,CLOSED,715 Center Street,Apex,27502,8/15/2019,Center Heights,"1,069",1997,2,2,0,Attached,"$190,000.00","$187,000.00",5,Yes,0,0-.25 Acres,0.98,NC,35.7298681,-78.84223469999999,"715 Center Street,Apex,NC,27502"
21,2228453,CLOSED,104 Shelter Haven Drive,Apex,27502,1/31/2019,West Haven Townhomes,"1,315",2007,3,2,1,Attached,"$189,900.00","$187,500.00",3,Yes,0,0-.25 Acres,0.99,NC,35.7181413,-78.8575286,"104 Shelter Haven Drive,Apex,NC,27502"
22,2186177,CLOSED,134 Forthview Way,Apex,27502,5/14/2018,Bradley Terrace,"1,475",2005,3,2,1,Attached,"$188,000.00","$188,000.00",0,,0,0-.25 Acres,1.0,NC,35.71589,-78.85588,"134 Forthview Way,Apex,NC,27502"
23,2276186,CLOSED,321 Port Haven Drive,Apex,27502,10/4/2019,West Haven Townhomes,"1,328",2007,3,2,1,Attached,"$185,000.00","$188,000.00",2,Yes,0,0-.25 Acres,1.02,NC,35.7165946,-78.85822519999999,"321 Port Haven Drive,Apex,NC,27502"
24,2315811,CLOSED,3006 Silky Dogwood Trail,Apex,27502,5/20/2020,Dogwood Ridge,"1,050",1998,2,2,0,Attached,"$186,000.00","$188,000.00",0,Yes,0,0-.25 Acres,1.01,NC,35.7341597,-78.8788454,"3006 Silky Dogwood Trail,Apex,NC,27502"
25,2322197,CLOSED,119 Shelter Haven Drive,Apex,27502,6/26/2020,West Haven Townhomes,"1,098",2007,2,2,1,Attached,"$185,000.00","$189,000.00",2,Yes,0,0-.25 Acres,1.02,NC,35.71754200000001,-78.85719,"119 Shelter Haven Drive,Apex,NC,27502"
26,2235438,CLOSED,106 Sanair Court,Apex,27502,2/22/2019,Heatherwood Townhomes,"1,133",1987,2,2,0,Attached,"$199,000.00","$189,000.00",6,Yes,0,0-.25 Acres,0.95,NC,35.7368552,-78.8309974,"106 Sanair Court,Apex,NC,27502"
27,2194312,CLOSED,707 Knightsborough Way,Apex,27502,7/20/2018,Haddon Hall,"1,564",2000,2,2,1,Attached,"$200,000.00","$190,000.00",10,,0,0-.25 Acres,0.95,NC,35.7409419,-78.860705,"707 Knightsborough Way,Apex,NC,27502"
28,2205925,CLOSED,1133 Bungalow Park Drive,Apex,27502,8/22/2018,Scotts Mill at Bungalow Park,"1,344",2002,2,2,1,Attached,"$195,000.00","$190,000.00",7,Yes,0,0-.25 Acres,0.97,NC,35.723942,-78.88416699999999,"1133 Bungalow Park Drive,Apex,NC,27502"
29,2203418,CLOSED,308 Port Haven Drive,Apex,27502-4706,8/15/2018,West Haven Townhomes,"1,328",2007,3,2,1,Attached,"$192,000.00","$190,000.00",3,,0,0-.25 Acres,0.99,NC,35.717248,-78.858131,"308 Port Haven Drive,Apex,NC,27502-4706"
30,2167339,CLOSED,158 Forthview Way,Apex,27502-4702,2/2/2018,Bradley Terrace,"1,555",2005,3,2,1,Attached,"$182,500.00","$190,000.00",4,Yes,0,0-.25 Acres,1.04,NC,35.7166356,-78.8555051,"158 Forthview Way,Apex,NC,27502-4702"
31,2196815,CLOSED,134 Sanair Court,Apex,27502,7/20/2018,Heatherwood Townhomes,"1,275",1988,2,2,1,Attached,"$195,000.00","$190,800.00",6,Yes,0,0-.25 Acres,0.98,NC,35.7384148,-78.8311526,"134 Sanair Court,Apex,NC,27502"
32,2191016,CLOSED,137 Anterbury Drive,Apex,27502,6/13/2018,Bradley Terrace,"1,502",2006,3,2,1,Attached,"$180,000.00","$191,000.00",2,Yes,0,0-.25 Acres,1.06,NC,35.7151702,-78.8577498,"137 Anterbury Drive,Apex,NC,27502"
33,2208147,CLOSED,1204 Nottinghill Walk,Apex,27502,9/4/2018,Haddon Hall,"1,444",2000,2,2,1,Attached,"$180,000.00","$191,600.00",4,Yes,0,0-.25 Acres,1.06,NC,35.740791,-78.8599502,"1204 Nottinghill Walk,Apex,NC,27502"
34,2228653,CLOSED,705 Knightsborough Way,Apex,27502,2/15/2019,Golders Green,"1,425",1999,2,2,1,Attached,"$195,000.00","$192,000.00",48,Yes,0,0-.25 Acres,0.98,NC,35.7409834,-78.86065789999999,"705 Knightsborough Way,Apex,NC,27502"
35,2215353,CLOSED,154 Forthview Way,Apex,27502,10/15/2018,Bradley Terrace,"1,440",2005,3,2,1,Attached,"$190,000.00","$192,500.00",3,Yes,0,0-.25 Acres,1.01,NC,35.7165323,-78.8555272,"154 Forthview Way,Apex,NC,27502"
36,2174439,CLOSED,1005 Bungalow Park Drive,Apex,27502,3/27/2018,Scotts Mill at Bungalow Park,"1,363",2006,2,2,1,Attached,"$191,000.00","$193,000.00",2,Yes,0,0-.25 Acres,1.01,NC,35.725199,-78.88687,"1005 Bungalow Park Drive,Apex,NC,27502"
37,2342661,CLOSED,216 Harbor Haven Drive,Apex,27502,10/28/2020,West Haven Townhomes,"1,106",2007,2,2,1,Attached,"$190,000.00","$193,000.00",4,Yes,0,0-.25 Acres,1.02,NC,35.718493,-78.858008,"216 Harbor Haven Drive,Apex,NC,27502"
38,2227824,CLOSED,142 Forthview Way,Apex,27502,1/11/2019,Bradley Terrace,"1,441",2005,3,2,1,Attached,"$194,000.00","$195,000.00",2,Yes,0,0-.25 Acres,1.01,NC,35.716096,-78.85575899999999,"142 Forthview Way,Apex,NC,27502"
39,2170882,CLOSED,213 Presenteer Trail,Apex,27539,3/15/2018,Miramonte,"1,510",2008,2,2,1,Attached,"$193,500.00","$195,000.00",3,Yes,1,0-.25 Acres,1.01,NC,35.6873554,-78.8256222,"213 Presenteer Trail,Apex,NC,27539"
40,2164759,CLOSED,108 Watertree Lane,Apex,27502,3/22/2018,Carriage Downs,"1,472",2001,3,2,1,Attached,"$189,900.00","$195,000.00",8,,0,0-.25 Acres,1.03,NC,35.742844,-78.87317999999999,"108 Watertree Lane,Apex,NC,27502"
41,2164368,CLOSED,758 Wickham Ridge Road,Apex,27539,2/2/2018,Pemberley,"1,486",2012,2,2,1,Attached,"$195,000.00","$195,000.00",17,Yes,0,0-.25 Acres,1.0,NC,35.6950307,-78.83037139999999,"758 Wickham Ridge Road,Apex,NC,27539"
42,2164617,CLOSED,543 Village Loop Drive,Apex,27502,1/10/2018,Green at Scotts Mill,"1,404",2004,3,2,1,Attached,"$192,500.00","$195,000.00",2,Yes,0,0-.25 Acres,1.01,NC,35.727174,-78.875151,"543 Village Loop Drive,Apex,NC,27502"
43,2180339,CLOSED,1119 Bungalow Park Drive,Apex,27502,5/4/2018,Scotts Mill at Bungalow Park,"1,334",2004,2,2,1,Attached,"$194,999.00","$195,000.00",4,Yes,0,0-.25 Acres,1.0,NC,35.7241573,-78.8845317,"1119 Bungalow Park Drive,Apex,NC,27502"
44,2288809,CLOSED,311 Port Haven Drive,Apex,27502,11/26/2019,West Haven Townhomes,"1,347",2007,2,2,1,Attached,"$189,900.00","$195,000.00",2,Yes,0,0-.25 Acres,1.03,NC,35.7167943,-78.85787979999999,"311 Port Haven Drive,Apex,NC,27502"
45,2316344,CLOSED,327 Port Haven Drive,Apex,27502-4707,6/18/2020,West Haven Townhomes,"1,318",2007,2,2,1,Attached,"$190,000.00","$197,000.00",3,Yes,0,0-.25 Acres,1.04,NC,35.7165384,-78.8584132,"327 Port Haven Drive,Apex,NC,27502-4707"
46,2207469,CLOSED,3040 White Cloud Circle,Apex,27502,9/3/2018,Dogwood Ridge,"1,336",1999,3,2,0,Attached,"$205,000.00","$197,000.00",3,Yes,0,0-.25 Acres,0.96,NC,35.7359334,-78.8790271,"3040 White Cloud Circle,Apex,NC,27502"
47,2237375,CLOSED,129 Anterbury Drive,Apex,27502-4709,4/5/2019,Bradley Terrace,"1,482",2005,3,2,1,Attached,"$199,000.00","$197,000.00",4,Yes,0,0-.25 Acres,0.99,NC,35.7153952,-78.8577332,"129 Anterbury Drive,Apex,NC,27502-4709"
48,2174963,CLOSED,105 Portwind Lane,Apex,27539,3/21/2018,Miramonte,"1,545",2005,3,2,1,Attached,"$195,000.00","$197,500.00",5,,1,0-.25 Acres,1.01,NC,35.6877563,-78.82637969999999,"105 Portwind Lane,Apex,NC,27539"
49,2203844,CLOSED,1009 Bungalow Park Drive,Apex,27502,8/14/2018,Scotts Mill at Bungalow Park,"1,350",2006,2,2,1,Attached,"$202,900.00","$199,000.00",9,Yes,0,0-.25 Acres,0.98,NC,35.7252231,-78.88678759999999,"1009 Bungalow Park Drive,Apex,NC,27502"
50,2227803,CLOSED,1104 Milk Paint Alley,Apex,27502,3/20/2019,Scotts Mill at Bungalow Park,"1,332",2002,2,2,1,Attached,"$205,000.00","$199,000.00",20,Yes,0,0-.25 Acres,0.97,NC,35.723309,-78.883746,"1104 Milk Paint Alley,Apex,NC,27502"
51,2188333,CLOSED,304 Anterbury Drive,Apex,27502,6/22/2018,Bradley Terrace,"1,650",2006,2,2,1,Attached,"$199,900.00","$199,900.00",24,Yes,1,0-.25 Acres,1.0,NC,35.7138006,-78.858348,"304 Anterbury Drive,Apex,NC,27502"
52,2180407,CLOSED,3016 Silky Dogwood Trail,Apex,27502,6/22/2018,Dogwood Ridge,"1,470",1998,3,2,1,Attached,"$205,000.00","$200,000.00",14,Yes,0,0-.25 Acres,0.98,NC,35.7343938,-78.8792102,"3016 Silky Dogwood Trail,Apex,NC,27502"
53,2228744,CLOSED,132 Anterbury Drive,Apex,27502,2/11/2019,Bradley Terrace,"1,548",2005,3,2,1,Attached,"$200,000.00","$200,000.00",8,Yes,0,0-.25 Acres,1.0,NC,35.7152842,-78.858181,"132 Anterbury Drive,Apex,NC,27502"
54,2175996,CLOSED,103 Fargale Lane,Apex,27539,4/16/2018,Miramonte Townes,"1,579",2007,2,2,1,Attached,"$200,000.00","$200,000.00",2,Yes,1,0-.25 Acres,1.0,NC,35.6876631,-78.82531279999999,"103 Fargale Lane,Apex,NC,27539"
55,2254043,CLOSED,201 Baberton Drive,Apex,27502,6/7/2019,Bradley Terrace,"1,466",2003,3,2,1,Attached,"$199,900.00","$200,000.00",2,,0,0-.25 Acres,1.0,NC,35.7158663,-78.8567435,"201 Baberton Drive,Apex,NC,27502"
56,2189908,CLOSED,1132 Scotts Ridge Trail,Apex,27502,6/7/2018,Scotts Mill at Bungalow Park,"1,358",2003,2,2,1,Attached,"$197,000.00","$200,000.00",4,Yes,0,0-.25 Acres,1.02,NC,35.724243,-78.884041,"1132 Scotts Ridge Trail,Apex,NC,27502"
57,2183732,CLOSED,136 Altair Circle,Apex,27502,6/8/2018,Heatherwood Townhomes,"1,431",1990,2,2,1,Attached,"$200,000.00","$200,000.00",0,Yes,0,0-.25 Acres,1.0,NC,35.736192,-78.83394,"136 Altair Circle,Apex,NC,27502"
58,2176264,CLOSED,101 Old Grove Lane,Apex,27502,4/13/2018,The Groves,"1,442",2005,2,2,1,Attached,"$200,000.00","$200,000.00",5,Yes,0,0-.25 Acres,1.0,NC,35.7278426,-78.8338594,"101 Old Grove Lane,Apex,NC,27502"
59,2194926,CLOSED,219 Presenteer Trail,Apex,27539-6527,6/29/2018,Miramonte,"1,584",2008,2,2,1,Attached,"$200,000.00","$200,500.00",4,Yes,1,0-.25 Acres,1.0,NC,35.6873252,-78.825412,"219 Presenteer Trail,Apex,NC,27539-6527"
60,2228308,CLOSED,113 Graystar Road,Apex,27502-6424,2/6/2019,Carriage Downs,"1,453",2005,3,2,1,Attached,"$209,900.00","$201,000.00",11,Yes,0,0-.25 Acres,0.96,NC,35.7423462,-78.8755007,"113 Graystar Road,Apex,NC,27502-6424"
61,2196048,CLOSED,102 Parkerson Lane,Apex,27502,7/16/2018,Carriage Downs,"1,454",2003,3,2,1,Attached,"$195,000.00","$201,000.00",0,Yes,0,0-.25 Acres,1.03,NC,35.7429553,-78.8743434,"102 Parkerson Lane,Apex,NC,27502"
62,2290706,CLOSED,304 Center Heights Court,Apex,27502,12/31/2019,Center Heights,"1,346",1997,3,2,1,Attached,"$198,000.00","$202,000.00",5,Yes,0,0-.25 Acres,1.02,NC,35.7300368,-78.8423078,"304 Center Heights Court,Apex,NC,27502"
63,2218015,CLOSED,107 Watertree Lane,Apex,27502,11/13/2018,Carriage Downs,"1,450",2002,3,2,1,Attached,"$200,000.00","$202,000.00",10,,0,0-.25 Acres,1.01,NC,35.7426129,-78.8735318,"107 Watertree Lane,Apex,NC,27502"
64,2188294,CLOSED,716 Wickham Ridge,Apex,27539,6/5/2018,Pemberley,"1,300",2014,2,2,1,Attached,"$200,000.00","$203,500.00",8,Yes,0,0-.25 Acres,1.02,NC,35.6949538,-78.8291945,"716 Wickham Ridge,Apex,NC,27539"
65,2169725,CLOSED,3020 Silky Dogwood Trail,Apex,27502,5/4/2018,Dogwood Ridge,"1,479",1998,4,2,0,Attached,"$215,000.00","$204,035.00",15,Yes,0,0-.25 Acres,0.95,NC,35.7344884,-78.8793208,"3020 Silky Dogwood Trail,Apex,NC,27502"
66,2215544,CLOSED,744 Wickham Ridge Road,Apex,27539,11/6/2018,Pemberley,"1,400",2012,2,2,1,Attached,"$205,000.00","$205,000.00",8,Yes,0,0-.25 Acres,1.0,NC,35.6950575,-78.8299655,"744 Wickham Ridge Road,Apex,NC,27539"
67,2222831,CLOSED,110 Parkerson Lane,Apex,27502,12/7/2018,Carriage Downs,"1,470",2003,3,2,1,Attached,"$200,000.00","$205,000.00",3,,0,0-.25 Acres,1.03,NC,35.7431852,-78.8743579,"110 Parkerson Lane,Apex,NC,27502"
68,2192553,CLOSED,1108 Bungalow Park Drive,Apex,27502,6/20/2018,Scotts Mill at Bungalow Park,"1,376",2006,2,2,1,Attached,"$198,900.00","$205,000.00",1,Yes,0,0-.25 Acres,1.03,NC,35.7238929,-78.88502799999999,"1108 Bungalow Park Drive,Apex,NC,27502"
69,2206065,CLOSED,1217 Bungalow Park Drive,Apex,27502,8/28/2018,Scotts Mill at Bungalow Park,"1,444",2002,2,2,1,Attached,"$210,000.00","$205,000.00",3,Yes,0,0-.25 Acres,0.98,NC,35.723456,-78.882964,"1217 Bungalow Park Drive,Apex,NC,27502"
70,2212501,CLOSED,116 Old Grove Lane,Apex,27502-1789,10/9/2018,The Groves,"1,435",2005,3,2,1,Attached,"$207,500.00","$205,000.00",5,Yes,0,0-.25 Acres,0.99,NC,35.727872,-78.8345609,"116 Old Grove Lane,Apex,NC,27502-1789"
71,2191858,CLOSED,303 Presenteer Trail,Apex,27539,10/19/2018,Miramonte,"1,561",2008,2,2,1,Attached,"$200,000.00","$205,000.00",6,Yes,1,0-.25 Acres,1.03,NC,35.6873217,-78.8249253,"303 Presenteer Trail,Apex,NC,27539"
72,2174753,CLOSED,515 Village Loop Drive,Apex,27502,4/12/2018,Scotts Mill,"1,377",2004,3,2,1,Attached,"$205,000.00","$205,000.00",2,Yes,0,0-.25 Acres,1.0,NC,35.7274566,-78.8752966,"515 Village Loop Drive,Apex,NC,27502"
73,2195207,CLOSED,731 Wickham Ridge Road,Apex,27539,7/13/2018,Pemberley,"1,404",2013,2,2,1,Attached,"$204,900.00","$205,900.00",1,Yes,0,0-.25 Acres,1.0,NC,35.6946085,-78.8296587,"731 Wickham Ridge Road,Apex,NC,27539"
74,2189245,CLOSED,115 Heatherwood Drive,Apex,27502,5/24/2018,Heatherwood Townhomes,"1,287",1989,2,2,0,Attached,"$185,000.00","$205,900.00",3,Yes,0,0-.25 Acres,1.11,NC,35.73649899999999,-78.83214699999999,"115 Heatherwood Drive,Apex,NC,27502"
75,2219145,CLOSED,3027 White Cloud Circle,Apex,27502,11/15/2018,Dogwood Ridge,"1,419",1999,3,2,1,Attached,"$208,000.00","$206,000.00",3,Yes,0,0-.25 Acres,0.99,NC,35.7361047,-78.8785034,"3027 White Cloud Circle,Apex,NC,27502"
76,2320582,CLOSED,122 Anterbury Drive,Apex,27502,6/25/2020,Bradley Terrace,"1,440",2005,3,2,1,Attached,"$205,000.00","$206,000.00",3,Yes,0,0-.25 Acres,1.0,NC,35.7156002,-78.858181,"122 Anterbury Drive,Apex,NC,27502"
77,2237952,CLOSED,108 Graystar Road,Apex,27502,4/18/2019,Carriage Downs,"1,489",2009,3,2,1,Attached,"$204,900.00","$207,000.00",2,,0,0-.25 Acres,1.01,NC,35.742703,-78.875351,"108 Graystar Road,Apex,NC,27502"
78,2190392,CLOSED,703 Knightsborough Way,Apex,27502,7/10/2018,Haddon Hall,"1,591",1999,2,2,1,Attached,"$212,000.00","$207,000.00",12,Yes,0,0-.25 Acres,0.98,NC,35.7410178,-78.86064089999999,"703 Knightsborough Way,Apex,NC,27502"
79,2184295,CLOSED,103 High Ramble Lane,Apex,27539,5/3/2018,Miramonte,"1,624",2007,3,2,1,Attached,"$205,000.00","$207,000.00",3,Yes,1,0-.25 Acres,1.01,NC,35.6890668,-78.8273588,"103 High Ramble Lane,Apex,NC,27539"
80,2196327,CLOSED,819 Straywhite Avenue,Apex,27539-9018,7/10/2018,Miramonte,"1,548",2005,2,2,1,Attached,"$210,000.00","$207,500.00",3,Yes,1,0-.25 Acres,0.99,NC,35.68780210000001,-78.8256664,"819 Straywhite Avenue,Apex,NC,27539-9018"
81,2253529,CLOSED,203 Gallent Hedge Trail,Apex,27539,9/12/2019,Miramonte,"1,959",2006,3,3,1,Attached,"$224,900.00","$207,500.00",112,,1,0-.25 Acres,0.92,NC,35.6878071,-78.8269265,"203 Gallent Hedge Trail,Apex,NC,27539"
82,2315889,CLOSED,114 Forthview Way,Apex,27502,7/1/2020,Bradley Terrace,"1,434",2003,3,2,1,Attached,"$206,500.00","$207,500.00",3,Yes,0,0-.25 Acres,1.0,NC,35.7150558,-78.85641179999999,"114 Forthview Way,Apex,NC,27502"
83,2165344,CLOSED,200 Anterbury Drive,Apex,27502,2/9/2018,Bradley Terrace,"1,623",2008,3,2,1,Attached,"$205,000.00","$208,000.00",0,,1,0-.25 Acres,1.01,NC,35.7142056,-78.8581368,"200 Anterbury Drive,Apex,NC,27502"
84,2300714,CLOSED,205 Knightsborough Way,Apex,27502,3/10/2020,Golders Green,"1,448",1999,2,2,1,Attached,"$200,000.00","$208,000.00",4,Yes,0,0-.25 Acres,1.04,NC,35.7413226,-78.8613652,"205 Knightsborough Way,Apex,NC,27502"
85,2274330,CLOSED,112 Baberton Drive,Apex,27502,9/30/2019,Bradley Terrace,"1,474",2003,3,2,1,Attached,"$205,000.00","$209,000.00",3,,0,0-.25 Acres,1.02,NC,35.71584,-78.857423,"112 Baberton Drive,Apex,NC,27502"
86,2215641,CLOSED,1018 Bungalow Park Drive,Apex,27502,10/30/2018,Scotts Mill,"1,328",2005,2,2,1,Attached,"$210,000.00","$210,000.00",11,Yes,0,0-.25 Acres,1.0,NC,35.724614,-78.886432,"1018 Bungalow Park Drive,Apex,NC,27502"
87,2254139,CLOSED,1046 Mica Lamp Court,Apex,27502,7/10/2019,Scotts Mill at Bungalow Park,"1,362",2007,2,2,1,Attached,"$215,000.00","$210,000.00",14,Yes,0,0-.25 Acres,0.98,NC,35.723089,-78.8858188,"1046 Mica Lamp Court,Apex,NC,27502"
88,2317348,CLOSED,690 Wickham Ridge Road,Apex,27539,7/1/2020,Pemberley,"1,328",2014,2,2,1,Attached,"$215,000.00","$210,000.00",16,,0,0-.25 Acres,0.98,NC,35.6948193,-78.82818139999999,"690 Wickham Ridge Road,Apex,NC,27539"
89,2328254,CLOSED,120 Licorice Drive,Apex,27502,8/4/2020,Townes At Sugarland,"1,355",2001,3,2,1,Attached,"$215,000.00","$210,000.00",3,Yes,0,0-.25 Acres,0.98,NC,35.7224575,-78.8629966,"120 Licorice Drive,Apex,NC,27502"
90,2257939,CLOSED,1210 Bungalow Park Drive,Apex,27502,6/19/2019,Scotts Mill at Bungalow Park,"1,382",2002,2,2,1,Attached,"$213,900.00","$210,000.00",6,Yes,0,0-.25 Acres,0.98,NC,35.7233439,-78.8833602,"1210 Bungalow Park Drive,Apex,NC,27502"
91,2193729,CLOSED,1004 Bungalow Park Drive,Apex,27502,7/20/2018,Scotts Mill,"1,346",2006,2,2,1,Attached,"$195,000.00","$210,000.00",1,,0,0-.25 Acres,1.08,NC,35.7248567,-78.88692739999999,"1004 Bungalow Park Drive,Apex,NC,27502"
92,2200456,CLOSED,822 Myrtle Grove Lane,Apex,27502,7/30/2018,The Groves,"1,447",2008,2,2,1,Attached,"$207,000.00","$210,000.00",2,Yes,0,0-.25 Acres,1.01,NC,35.728748,-78.8349269,"822 Myrtle Grove Lane,Apex,NC,27502"
93,2168477,CLOSED,503 Nottinghill Walk,Apex,27502,2/9/2018,Haddon Hall,"1,622",1998,2,2,1,Attached,"$200,000.00","$210,000.00",4,Yes,1,0-.25 Acres,1.05,NC,35.7412224,-78.86231649999999,"503 Nottinghill Walk,Apex,NC,27502"
94,2199442,CLOSED,1031 Mica Lamp Court,Apex,27502,7/25/2018,Scotts Mill at Bungalow Park,"1,347",2007,2,2,1,Attached,"$195,000.00","$210,000.00",1,,0,0-.25 Acres,1.08,NC,35.7235687,-78.8856134,"1031 Mica Lamp Court,Apex,NC,27502"
95,2255459,CLOSED,3012 Silky Dogwood Trail,Apex,27502,7/29/2019,Dogwood Ridge,"1,405",1998,3,2,0,Attached,"$215,000.00","$210,000.00",9,Yes,0,0-.25 Acres,0.98,NC,35.734291,-78.8790112,"3012 Silky Dogwood Trail,Apex,NC,27502"
96,2195457,CLOSED,1211 Bungalow Park Drive,Apex,27502,7/26/2018,Scotts Mill at Bungalow Park,"1,350",2002,2,2,1,Attached,"$202,000.00","$210,000.00",3,Yes,0,0-.25 Acres,1.04,NC,35.723609,-78.882997,"1211 Bungalow Park Drive,Apex,NC,27502"
